cell_type,B cell,B cell memory,B cell naive,B cell plasma,Cancer associated fibroblast,Class-switched memory B cell,Common lymphoid progenitor,Common myeloid progenitor,Endothelial cell,Eosinophil,Granulocyte-monocyte progenitor,Hematopoietic stem cell,immune score,Macrophage,Macrophage M1,Macrophage M2,Mast cell,microenvironment score,Monocyte,Myeloid dendritic cell,Myeloid dendritic cell activated,Neutrophil,NK cell,Plasmacytoid dendritic cell,stroma score,T cell CD4+ (non-regulatory),T cell CD4+ central memory,T cell CD4+ effector memory,T cell CD4+ memory,T cell CD4+ naive,T cell CD4+ Th1,T cell CD4+ Th2,T cell CD8+,T cell CD8+ central memory,T cell CD8+ effector memory,T cell CD8+ naive,T cell gamma delta,T cell NK,T cell regulatory (Tregs)
TCGA-04-1348,0.100972591,0.000217754,0.00052049,0.017245196,0.022988155,0.041204499,0.02172667,0,0.011203327,0,0,0,0.202442571,0.09663366,0.063089361,0.005670681,0.003862222,0.220505131,0.048781377,0.027595905,0.252361597,0,0,0.09373175,0.01806256,9.22E-19,0,0.024810442,0.00783813,0.004458848,0.06527356,0.133039538,0.025818101,0.07431969,0.029928937,0.0004599,0.023702077,0.019503919,0.023201322
TCGA-04-1517,0.034935964,0,0,0.025054572,5.87E-19,0.022973582,0.010367961,0.003335233,0,5.74E-20,0.002819281,0.013934761,0.06452272,0.017934026,0.005668155,6.33E-20,0.031044868,0.065750788,0.005827192,0.005782192,0.043520301,0,4.13E-18,0.01329771,0.001228067,1.51E-18,0.010098761,0.018034054,7.65E-20,1.61E-18,0.009275034,0.011677773,0.00125984,0,0,7.60E-21,3.99E-19,0.067646483,5.29E-19
TCGA-04-1542,0.028059689,0,0,0.019983129,0.02827229,0.028779748,0.010386437,0,0.019404522,3.14E-19,1.04E-18,0.031584189,0.033288091,0.008635748,0,0.002070497,0.010944928,0.057366904,3.34E-18,6.61E-20,0.008239886,0,8.58E-18,0.006544327,0.024078813,0,0.01331888,0,7.36E-20,0,0.019803885,0,0.002291771,5.56E-19,0,0.000756164,1.87E-18,0.074090664,3.73E-19
TCGA-09-2051,0.050307479,5.91E-18,4.11E-19,0.027376814,0.009040664,0.041724511,0.012192983,0,0,9.59E-20,5.71E-18,0.002740336,0.094878232,0.061513508,0.061923113,0.000553686,0.009747597,0.099789804,0.010000083,0.01074868,0.190639387,5.14E-19,1.53E-17,0.075290456,0.004911572,3.17E-19,0,0.018397228,0,0,0.057838774,0.13284462,2.83E-18,0.01881807,0,4.38E-20,7.70E-19,0.042478455,0.001764091
TCGA-13-0727,0.042954956,0.006388266,0,0.02579735,0.014669979,0.010213577,0.001801116,0.004606618,0.000252761,1.01E-18,3.51E-18,0.068942254,0.086131104,0.032603974,0.023842638,0.002551652,0.021008949,0.094655259,0.030187696,0.00244108,0.090700635,0,0,0.02402317,0.008524155,0,0.019521204,0.030419575,0,1.18E-18,0.030539002,0.024212338,1.71E-18,0,8.38E-19,0,0,0.070242469,4.30E-19
TCGA-13-0768,0.102632283,0.017948375,0.007683433,0.037244645,0.093040021,0.044101893,0.005678194,0,0.055377319,1.38E-19,0.055662366,0.153010642,0.323484526,0.094760239,0.083814016,0.022166802,0.016270515,0.443226823,0.091488035,0.037613117,0.345246927,3.19E-19,0.02276315,0.250817401,0.119742298,1.80E-19,1.51E-18,0.089059759,0.013788022,0.041851061,0.032722666,0.117132526,0.119699448,0.145389082,0.143735322,0.004531335,0,0.068695436,0.042584255
TCGA-13-0795,0.11207778,0.013748063,0,0.061135125,0.020610434,0.014314644,0.024307346,1.34E-18,0.01429221,0,2.25E-18,0.062039339,0.223854877,0.105834111,0.068408482,0.018461479,0.018987913,0.242537987,0.074062841,0.007823544,0.179928955,3.12E-19,0,0.078263458,0.01868311,1.30E-18,3.12E-19,0.018638644,0.001481913,0.006397096,0.014403072,0.103113053,0.016996127,0.057300942,0.020421523,0.001213517,5.59E-19,0.042581293,1.33E-19
TCGA-13-0804,0.083114564,0.012042955,1.03E-18,0.018329538,0.022156966,0.020857972,0.015332814,1.62E-18,0.017891498,0,0.003513189,0.020107509,0.194561796,0.08690493,0.043924784,0.018367175,0.010478853,0.214586028,0.084249354,0.027094994,0.11030576,3.93E-18,1.88E-19,0.096365885,0.020024232,0,1.49E-18,0,2.66E-20,5.60E-22,0.056212721,0.11394386,0,0.034749348,0.01759566,0,0,0.088464863,0
TCGA-13-0916,0.084007398,2.00E-18,0,0.032152514,0.040283982,0.075293028,0.006187152,0.003677977,0.032964267,1.05E-18,7.98E-19,0.002703113,0.104376176,0.029819796,0.021169078,0.011942982,0.011502929,0.141000301,0.010764381,0.001819053,0.160582558,0,0,0.074063039,0.036624125,1.44E-18,3.22E-18,0.034855207,0,0.009455662,0.032972676,0.139313228,0.018650708,0.050877395,0.040978348,0.001774046,0,0.088484568,0.014820192
TCGA-13-1506,0.0712897,0.00064787,0.00861735,0.025618554,0.019547134,0.008238066,0.028202556,1.27E-18,3.99E-19,3.71E-18,0,0.005908978,0.079734394,0.027669799,0.017402116,0.000915219,0.003607849,0.089507961,0.009510537,0.00640699,0.052061572,0.001116717,7.17E-18,0.040844461,0.009773567,1.83E-18,5.37E-19,1.73E-18,0.000872815,1.06E-18,0.02624212,0.13813397,1.10E-19,0.000536352,0,0.003177551,0,0.044336979,5.96E-20
